audio_id,audio_name,Size,Customer_Name,rating_count,user_rating,cont_rating,Age,price,genre
281656475,PAC-MAN Premium,100788224,Rishi Sinha,21292,4,4+,16,3.99,Games
281796108,Evernote - stay organized,158578688,Alex K,161065,4,4+,45,0,Productivity
281940292,"WeatherBug - Local Weather, Radar, Maps, Alerts",100524032,Neha Dixit,188583,3.5,4+,48,0,Weather
282614216,"eBay: Best App to Buy, Sell, Save! Online Shopping",128512000,Arvind Kumar,262241,4,12+,32,0,Shopping
282935706,Bible,92774400,Aakriti Soni,985920,4.5,4+,20,0,Reference
283619399,Shanghai Mahjong,10485713,Paras Sharma,8253,4,4+,12,0.99,Games
283646709,PayPal - Send and request money safely,227795968,Sameer Khan,119487,4,4+,29,0,Finance
284035177,Pandora - Music & Radio,130242560,Jeffery Thomas,1126879,4,12+,34,0,Music
284666222,PCalc - The Best Calculator,49250304,Jaspreet Singh,1117,4.5,4+,22,9.99,Utilities
284736660,Ms. PAC-MAN,70023168,Alexis Rose,7885,4,4+,26,3.99,Games
284791396,Solitaire by MobilityWare,49618944,David,76720,4.5,4+,46,4.99,Games
284815117,SCRABBLE Premium,227547136,Eugene Levi,105776,3.5,4+,55,7.99,Games
284847138,Bank of America - Mobile Banking,160925696,Jodie Comer,119773,3.5,4+,29,0,Finance
284876795,TripAdvisor Hotels Flights Restaurants,207907840,Troye Sivan,56194,4,4+,48,0,Travel
284910350,"Yelp - Nearby Restaurants, Shopping & Services",167407616,Fletcher,223885,4,12+,24,0,Travel
285005463,Crash Bandicoot Nitro Kart 3D,10735026,Saman Hasan,31456,4,4+,18,2.99,Games
285994151,:) Sudoku +,6169600,Abhay Singh,11447,5,4+,17,2.99,Games
293622097,Google Earth,37214208,Ishika Jain,446185,3.5,4+,62,0,Travel
295646461,"The Weather Channel: Forecast, Radar & Alerts",199734272,Rohan ,495626,3.5,4+,55,0,Weather
298596830,NRJ Radio,53426176,Leah Lewis,38,3.5,4+,14,0,Music
