New_id,category,headline,authors,link,short_description,date,Country,Language,Channel,Customer Name,Custumer mail id
N001,EDUCATION,"NTA Declares GAT B, BET 2022 Results",A Mariyam alavi,http://www.indiatoday.in/livetv,Educational update on exams,23-05-2022,INDIA,English,iNDIA TODAY,Ashutosh Mukherji,Ashutosh.Mukherji@gmail.com
N002,SPORTS,patidar-from unsold player to lucknow,AK Sikri,http://www.aajtak.in/livetv, sports details,24-05-2022,INDIA,English,AAJ TAK,"
Dr. Salim ",Salim2232@gmail.com
N003,GOVERNMENT,modi praised tMIL IN CHENNAI,Aabshar hassan,http://www.aajtak.in/livetv,politics updates,24-05-2022,INDIA,English,AAJ TAK,"
Dr. Srikrishna yadav",yadav321@gmail.com
N004,FINANACIAL,A mutual Fund for every investor,A Mariyam alavi,http://www.indiatoday.in/livetv,economics updates,23-05-2022,INDIA,English,iNDIA TODAY,"
Kapil Dev",kapil900@gmail.com
N005,SPORTS,one in the million klopp makes liverpool,AK Sikri,http://www.aajtak.in/livetv,sports details,24-05-2022,US,English,AAJ TAK,"
Dr. Salim Ali",Salim.ali3343@gmail.com
N006,EDUCATION,wbjee 2022 responses sheet,Aabshar hassan,http://www.indiatoday.in/livetv,news plans,23-05-2022,INDIA,HINDI,iNDIA TODAY,"
Vallabhai Patel",patel7777@gmail.com
N007,SPORTS,jyoti yarraji smashes,AK Sikri,http://www.aajtak.in/livetv,sports details,23-05-2022,INDIA,HINDI,AAJ TAK,Ashutosh Vishwakarma,vishwa3343@gmail.com
N008,HEALTH,vaccines offer modest protection,Aarish chhabra,http://www.aajtak.in/livetv,health related,23-05-2022,INDIA,HINDI,AAJ TAK,"
Abdul Ghaffar Khan",khan543@gmail.com
N009,SPORTS,IWL:odisha maul mata rukmani,Aabshar hassan,http://www.indiatoday.in/livetv,IPL related,23-05-2022,INDIA,English,iNDIA TODAY,"
Dr. Srikrishna Singh",singh0000@gmail.com
N010,GOVERNMENT,"in uk ,rahul snipes at modi government",A Mariyam alavi,http://www.aajtak.in/livetv,politics updates,23-05-2022,INDIA,HINDI,AAJ TAK,Nagarjuna,janaaa334@gmail.com
N011,SPORTS,real madrid remain europe,Aatish sharma,http://www.indiatoday.in/livetv,sports details,23-05-2022,INDIA,HINDI,iNDIA TODAY,Anukool singh,yadav345@gmail.com
N012,HEALTH,8 easy ways to reduce back to office ,AK Sikri,http://www.aajtak.in/livetv,news plans,24-05-2022,US,English,AAJ TAK,"	
Dr. Srikrishna patel",sri9867@gmail.com
N013,EDUCATION,nas 2021 in kerala student,Aarish chhabra,http://www.indiatoday.in/livetv,Educational update on exams,23-05-2022,INDIA,HINDI,iNDIA TODAY,"
Dr. Anurag Narayan Singh",anurag5565@gmail.com
N014,GOVERNMENT,JP Nadda to meet miniters on celebration 8 year,A Mariyam alavi,http://www.aajtak.in/livetv,politics updates,23-05-2022,US,English,AAJ TAK,"
C R Das",dasashi@gmail.com
N015,SPORTS, patidar's brillinat ton keeps RCB in the hunts,Aarish chhabra,http://www.aajtak.in/livetv,sports details,23-05-2022,INDIA,HINDI,iNDIA TODAY,Salim Ali,alikhan345@gmail.com
N016,FINANACIAL,"RBI govt transfer falls sharply to rs 30,307",Aabshar hassan,http://www.indiatoday.in/livetv,economics updates,23-05-2022,INDIA,HINDI,iNDIA TODAY,"
Vallabhai Patel",patelvallabhai@gmail.com
N017,EDUCATION,"NTA Declares GAT B, BET 2022 Results",A Mariyam alavi,http://www.indiatoday.in/livetv,news plans,23-05-2022,US,HINDI,AAJ TAK,"
Chitta Ranjan Das",ranjan7777@gamil.com
N018,SPORTS,united banking on the erik ten hag to lift mood,AK Sikri,http://www.aajtak.in/livetv,sports details,23-05-2022,INDIA,HINDI,iNDIA TODAY,"
Milkha Singh",milkha@gmail.com
N019,FINANACIAL,FDI inflow hits all time high of usd 83.57 billion,A Mariyam alavi,http://www.indiatoday.in/livetv,economics updates,23-05-2022,,English,AAJ TAK,"
Kapil Yadav",kapil9002@gmail.com
N020,HEALTH,texas school shooting,,,,,,,,,
