Customer_Id,First_Name,Last_Name,Middle_Name,Age,Audio_Id,Audio_Name,Product_Id,Product_Name,Music_App,App_Id,Video_Id,Music_Label
CUS01801,Ally,Aagaard,,17,AUS001,Despacito(Remix),P1,Ipad,Spotify,MA2,,Sony Music
CUS01802,Alex,Abadi,,17,AUS002,Rap God,P2,Macbook,Amazon music,MA1,,Sony Music
CUS01803,Lyla,Abbatiello,Nicole,17,AUS003,Wap,P2,Macbook,Apple music,MA3,,Sony Music
CUS01804,Kylia,Abbott,Elixabeth,16,AUS004,Shape Of You,P2,Macbook,Spotify,MA2,,Warner music group
CUS01805,Bryce,Abbott,,15,AUS005,The Hills,P1,Ipad,Spotify,MA2,,Warner music group
CUS01806,Daniela,Abella,,15,AUS006,N95,P1,Ipad,Spotify,MA2,,Warner music group
CUS01807,Reily,Abraham,,15,AUS007,We Cry Together,P1,Ipad,Amazon music,MA1,,T-Series
CUS01808,Micaela,Acevedo,Nicholas,14,AUS008,Auntie Diaries,P3,Iphone,Amazon music,MA1,,T-Series
CUS01809,Breonia,Adam,Zoe,14,AUS009,Mother I Sober,P3,Iphone,Amazon music,MA1,,Virgin Records
CUS01810,Miranda,Adam,Marie,16,AUS010,Bad and Boujee,P3,Iphone,Apple music,MA3,,Sony Music
CUS01811,Madelyn,Adams,June,15,AUS011,God's Plan,P3,Iphone,Apple music,MA3,,Sony Music
CUS01812,Jase,Adams,Ann,13,AUS012,Sicko Mode,P3,Iphone,Apple music,MA3,,Sony Music
CUS01813,Jessica,Adams,P,14,AUS013,Man's Not Hot,P3,Iphone,Spotify,MA2,,Warner music group
CUS01814,Samuel,Adams,Tiana,17,AUS014,Drunk in Love,P3,Iphone,Spotify,MA2,,Warner music group
CUS01815,Kara,Adams,,17,AUS015,United in Grief,P1,Ipad,Spotify,MA2,,Warner music group
CUS01816,Brittany,Adams,Marie,15,AUS016,Father Time,P1,Ipad,Amazon music,MA1,,T-Series
CUS01817,Mykenzi,Adams,Erin,15,AUS017,Savior,P1,Ipad,Amazon music,MA1,,Virgin Records
CUS01818,Xaivore,Adcock,,16,AUS018,WorldWide Steppers,P1,Ipad,Amazon music,MA1,,T-Series
CUS01819,Jackson,Adeeb,Ty,13,AUS019,Die Hard,P2,Macbook,Apple music,MA3,,Warner music group
CUS01820,Nicole,Adkins,Barrett,14,AUS020,Bodak Yellow,P2,Macbook,Apple music,MA3,,Warner music group
CUS01821,Dalton,Agan,,15,AUS021,Work,P2,Macbook,Apple music,MA3,,Virgin Records
CUS01822,Brian,Aguilar,Alexander,16,AUS022,Too Good at Goodbyes,P2,Macbook,Spotify,MA2,,Sony Music
CUS01823,Casey,Aguilar,,17,AUS023,Fuckin' Problems,P2,Macbook,Spotify,MA2,,Sony Music
CUS01824,Janea,Ahlbach,,16,AUS024,In My Feelings,P3,Iphone,Spotify,MA2,,Sony Music
CUS01825,Lucas,Ahlbach,E,15,AUS025,Count Me Out,P3,Iphone,Amazon music,MA1,,Virgin Records
