sony_id,sony_title,customer_name,customer_email,sony_genre,sony_Views,sony_Likes,sony_dislikes,sony_Duration,sony_yop
s001,Kya Baat Ay ,ajit singh,ajitsingh@gmail.com,pop,"620,878,106",4100000,4450,3M10S,2018
s002,Raataan Lambiyan,ram  gopal,gopalram12@gmail.com,pop,"666,725,437",6500000,3286,3M13S,2021
s003,Genda Phool,priyanka tripathi,ptripathi@gmail.com,pop,"900,377,821",6200000,12000,2M53S,2021
s004,Naah,arjun singh,singharjun@gmail.com,pop,785677341,5600000,7800,3M22S,2018
s005,dynamite,meeta banerjee,mmbanerjee@gmail.com,disco,"1,807,938",10000,426,3M39S,2016
s006,she's on fire,lewis andrew,andrewlewis@gmail.com,dance-pop,33000,281,14,2M45S,2022
s007,maahi ve,david peter,peterdavid@gmail.com,rhythm,"125,600,274",681000,2120,6M11S,2014
s008,dance masti,sunil chouksey,choukseysunil@gmail.com,jazz,"26,110,138",109000,9887,5M31S,2015
s009,kismat Se,manjari shri,shrimanjari@gmail.com,pop,"676,815",5000,128,4M52S,2014
s010,maa da ladla,smith johnson,johnsonsmith@gmail.com,synthpop,870027653,140000,5643,2M46S,2014
s011,tunak tunak tun,willy williams ,williamswilly@gmail.com,bhangra music,"193,804,213",2600000,1400,4M16S,2014
s012,mausam,shubhi sharma,sharmashubhi@gmail.com,rhythm and blues,"210,150",536,94,3M06S,2012
s013,tum aaye,ramya pandit,panditramya@gmail.com,rhythm,"109,883",1300,142,4M33S,2014
s014,barfi (title track),martin lopez,lopezmartin@gmail.com,pop,"3,160,931",14477,780,4m34s,2012
s015,bhaag milkha bhaag,jack wilson,wilsonjack@gmail.com,rock,"17,288,866",176000,1780,2M38S,2013
s016,raanjhanaa,gaurav rajput,rajputgaurav@gmail.com,classical ,"20,203,235",240000,2700,4M08S,2013
s017,tum tak,martin taylor,taylormartin@gmail.com,pop,"26,748,286",202000,1800,5M03S,2013
s018,ranjha,arpit peter,peterarpit@gmail.com,pop,"252,708,525",3040000,2200,3M13S,2021
s019,kabhi khushi kabhi gham,raj awasthi,awasthiraj@gmail.com,popular music,"58,506,600","353,000",1346,5M13S,2014
s020,lakshya (title track),harry thompson,thompsonharry@gmail.com,rock,"43,016,960",397000,3400,4M41S,2015
